match_id,team_1,team_2,date,year,ground,toss_winner,toss_decision,match_winner,dl_used
455231,Sri Lanka,Pakistan,2010-06-15,2010,Rangiri Dambulla International Stadium,Sri Lanka,bat,Sri Lanka,
455232,Bangladesh,India,2010-06-16,2010,Rangiri Dambulla International Stadium,Bangladesh,bat,India,
426384,Ireland,Australia,2010-06-17,2010,Clontarf Cricket Club Ground,Australia,bat,Australia,
455233,Sri Lanka,Bangladesh,2010-06-18,2010,Rangiri Dambulla International Stadium,Sri Lanka,bat,Sri Lanka,
455234,India,Pakistan,2010-06-19,2010,Rangiri Dambulla International Stadium,Pakistan,bat,India,
455235,Bangladesh,Pakistan,2010-06-21,2010,Rangiri Dambulla International Stadium,Pakistan,bat,Pakistan,
455236,Sri Lanka,India,2010-06-22,2010,Rangiri Dambulla International Stadium,Sri Lanka,field,Sri Lanka,
426387,England,Australia,2010-06-22,2010,The Rose Bowl,Australia,bat,England,
455237,Sri Lanka,India,2010-06-24,2010,Rangiri Dambulla International Stadium,India,bat,India,
426388,England,Australia,2010-06-24,2010,Sophia Gardens,Australia,bat,England,
426389,England,Australia,2010-06-27,2010,Old Trafford,England,field,England,
426390,England,Australia,2010-06-30,2010,Kennington Oval,England,field,Australia,
426391,England,Australia,2010-07-03,2010,Lord's,Australia,bat,Australia,
426403,England,Bangladesh,2010-07-08,2010,Trent Bridge,Bangladesh,bat,England,
426404,England,Bangladesh,2010-07-10,2010,County Ground,England,field,Bangladesh,
426405,England,Bangladesh,2010-07-12,2010,Edgbaston,Bangladesh,field,England,
450107,Ireland,Bangladesh,2010-07-16,2010,"Civil Service Cricket Club, Stormont",Ireland,bat,Bangladesh,y
456662,India,New Zealand,2010-08-10,2010,Rangiri Dambulla International Stadium,New Zealand,bat,New Zealand,
456664,Sri Lanka,New Zealand,2010-08-13,2010,Rangiri Dambulla International Stadium,New Zealand,bat,Sri Lanka,
456663,Sri Lanka,India,2010-08-16,2010,Rangiri Dambulla International Stadium,Sri Lanka,bat,India,
473315,Sri Lanka,New Zealand,2010-08-19,2010,Rangiri Dambulla International Stadium,New Zealand,field,No Result,
456666,Sri Lanka,India,2010-08-22,2010,Rangiri Dambulla International Stadium,India,bat,Sri Lanka,
456665,India,New Zealand,2010-08-25,2010,Rangiri Dambulla International Stadium,India,bat,India,
456668,Sri Lanka,India,2010-08-28,2010,Rangiri Dambulla International Stadium,Sri Lanka,bat,Sri Lanka,
426428,England,Pakistan,2010-09-10,2010,Riverside Ground,Pakistan,field,England,
426429,England,Pakistan,2010-09-12,2010,Headingley,Pakistan,bat,England,
426430,England,Pakistan,2010-09-17,2010,Kennington Oval,Pakistan,bat,Pakistan,
426431,England,Pakistan,2010-09-20,2010,Lord's,Pakistan,bat,Pakistan,
426432,England,Pakistan,2010-09-22,2010,The Rose Bowl,England,bat,England,
